RIC,Date,Close,Exp,CRIC
SCFN9,2009-03-16,29340.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-17,30410.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-18,30530.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-19,30910.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-20,31960.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-23,33230.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-24,33210.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-25,32580.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-26,33240.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-27,33650.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-30,33010.0,2009-07-15 00:00:00,2009N
SCFN9,2009-03-31,32860.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-01,33420.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-02,33700.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-03,34060.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-07,35220.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-08,35510.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-09,36380.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-10,37970.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-13,40000.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-14,38930.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-15,39050.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-16,40470.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-17,39730.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-20,39340.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-21,37510.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-22,37420.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-23,36420.0,2009-07-15 00:00:00,2009N
SCFN9,2009-04-24,35700.0,2009-07-15 00:00:00,2009N
