RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
SCFc6,20-10-1999,18310,18420,18300,18350,1152,4146,18360,18360,
SCFc6,21-10-1999,18650,18680,18600,18650,3376,6274,18650,18650,
SCFc6,22-10-1999,18660,18670,18610,18650,2296,7786,18640,18640,
SCFc6,25-10-1999,18730,18730,18630,18630,1750,8340,18650,18650,
SCFc6,26-10-1999,18510,18520,18260,18300,3070,8210,18380,18380,
SCFc6,27-10-1999,18200,18370,18160,18180,2272,8516,18220,18220,
SCFc6,28-10-1999,18250,18370,18250,18260,2688,8562,18280,18280,
SCFc6,29-10-1999,18390,18520,18370,18510,4120,10258,18463,18463,
SCFc6,01-11-1999,18470,18470,18430,18470,1614,10960,18453,18453,
SCFc6,02-11-1999,18420,18460,18380,18460,2632,11740,18402,18402,
SCFc6,03-11-1999,18620,18700,18620,18660,4430,14320,18657,18657,
SCFc6,04-11-1999,18510,18560,18490,18550,2668,14954,18518,18518,
SCFc6,05-11-1999,18490,18490,18280,18280,7696,14262,18348,18348,
SCFc6,08-11-1999,18230,18310,18200,18250,2960,14848,18272,18272,
SCFc6,09-11-1999,18180,18320,18170,18310,2650,15154,18255,18255,
SCFc6,10-11-1999,18430,18480,18400,18470,5600,17364,18446,18446,
SCFc6,11-11-1999,18150,18190,18060,18060,11098,15462,18123,18123,
SCFc6,12-11-1999,17970,18100,17900,18050,8092,15644,18057,18057,
SCFc6,15-11-1999,17950,18070,17900,18060,10492,18226,17998,17998,
SCFc6,16-11-1999,18360,18360,18300,18300,538,1630,18327,18327,
SCFc6,17-11-1999,18310,18310,18160,18160,88,1648,18190,18190,
SCFc6,18-11-1999,18170,18300,18150,18220,380,1834,18261,18261,
SCFc6,19-11-1999,18200,18200,18130,18170,172,1960,18156,18156,
SCFc6,22-11-1999,18250,18340,18250,18300,452,2096,18304,18304,
SCFc6,23-11-1999,18350,18350,18280,18310,154,2178,18315,18315,
SCFc6,24-11-1999,18300,18300,18250,18300,380,2462,18285,18285,
SCFc6,25-11-1999,18350,18480,18350,18450,2582,3574,18425,18425,
SCFc6,26-11-1999,18490,18560,18460,18510,2492,4828,18529,18529,
SCFc6,29-11-1999,18610,18660,18560,18590,3268,6492,18619,18619,
SCFc6,30-11-1999,18550,18550,18450,18480,2646,7428,18480,18480,
SCFc6,01-12-1999,18580,18610,18550,18550,2560,9240,18579,18579,
SCFc6,02-12-1999,18310,18350,18250,18320,4146,9844,18293,18293,
SCFc6,03-12-1999,18290,18400,18290,18390,2588,9968,18371,18371,
SCFc6,06-12-1999,18580,18630,18570,18600,5602,12386,18599,18599,
SCFc6,07-12-1999,18550,18590,18550,18590,2022,13416,18578,18578,
