RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
CMCUZ7-3,17-07-2009,,,,,,,,163,
CMCUZ7-3,20-07-2009,,,,,,,,137.5,
CMCUZ7-3,21-07-2009,,,,,,,,138,
CMCUZ7-3,22-07-2009,,,,,,,,153,
CMCUZ7-3,23-07-2009,,,,,,,,215,
CMCUZ7-3,24-07-2009,,,,,,,,215,
CMCUZ7-3,27-07-2009,,,,,,,,210,
CMCUZ7-3,28-07-2009,,,,,,,,171,
CMCUZ7-3,29-07-2009,,,,,,,,157.5,
CMCUZ7-3,30-07-2009,,,,,,,,290,
CMCUZ7-3,31-07-2009,,,,,,,,329,
CMCUZ7-3,03-08-2009,,,,,,,,397,
CMCUZ7-3,04-08-2009,,,,,,,,407,
CMCUZ7-3,05-08-2009,,,,,,,,483,
CMCUZ7-3,06-08-2009,,,,,,,,431,
CMCUZ7-3,07-08-2009,,,,,,,,478,
CMCUZ7-3,10-08-2009,,,,,,,,467,
CMCUZ7-3,11-08-2009,,,,,,,,418,
CMCUZ7-3,12-08-2009,,,,,,,,498,
CMCUZ7-3,13-08-2009,,,,,,,,616,
CMCUZ7-3,14-08-2009,,,,,,,,560,
CMCUZ7-3,17-08-2009,,,,,,,,600,
CMCUZ7-3,18-08-2009,,,,,,,,816,
CMCUZ7-3,19-08-2009,,,,,,,,819,
CMCUZ7-3,20-08-2009,,,,,,,,804,
CMCUZ7-3,21-08-2009,,,,,,,,880,
CMCUZ7-3,24-08-2009,,,,,,,,884,
CMCUZ7-3,25-08-2009,,,,,,,,816,
CMCUZ7-3,26-08-2009,,,,,,,,776,
CMCUZ7-3,27-08-2009,,,,,,,,741,
CMCUZ7-3,28-08-2009,,,,,,,,842,
CMCUZ7-3,01-09-2009,,,,,,,,756,
CMCUZ7-3,02-09-2009,,,,,,,,727,
CMCUZ7-3,03-09-2009,,,,,,,,788,
CMCUZ7-3,04-09-2009,,,,,,,,801.5,
CMCUZ7-3,07-09-2009,,,,,,,,774,
CMCUZ7-3,08-09-2009,,,,,,,,827.5,
CMCUZ7-3,09-09-2009,,,,,,,,801,
CMCUZ7-3,10-09-2009,,,,,,,,751,
CMCUZ7-3,11-09-2009,,,,,,,,704.25,
CMCUZ7-3,14-09-2009,,,,,,,,712,
CMCUZ7-3,15-09-2009,,,,,,,,730,
CMCUZ7-3,16-09-2009,,,,,,,,747,
CMCUZ7-3,17-09-2009,,,,,,,,714,
CMCUZ7-3,18-09-2009,,,,,,,,649,
CMCUZ7-3,21-09-2009,,,,,,,,645,
CMCUZ7-3,22-09-2009,,,,,,,,650,
CMCUZ7-3,23-09-2009,,,,,,,,626,
CMCUZ7-3,24-09-2009,,,,,,,,553,
CMCUZ7-3,25-09-2009,,,,,,,,540,
CMCUZ7-3,28-09-2009,,,,,,,,564,
CMCUZ7-3,29-09-2009,,,,,,,,561,
CMCUZ7-3,30-09-2009,,,,,,,,572,
CMCUZ7-3,01-10-2009,,,,,,,,479.5,
CMCUZ7-3,02-10-2009,,,,,,,,430,
CMCUZ7-3,05-10-2009,,,,,,,,428,
CMCUZ7-3,06-10-2009,,,,,,,,475,
CMCUZ7-3,07-10-2009,,,,,,,,471,
CMCUZ7-3,08-10-2009,,,,,,,,533,
CMCUZ7-3,09-10-2009,,,,,,,,522,
CMCUZ7-3,12-10-2009,,,,,,,,511,
CMCUZ7-3,13-10-2009,,,,,,,,443,
CMCUZ7-3,14-10-2009,,,,,,,,451,
CMCUZ7-3,15-10-2009,,,,,,,,442,
CMCUZ7-3,16-10-2009,,,,,,,,413,
CMCUZ7-3,19-10-2009,,,,,,,,481,
CMCUZ7-3,20-10-2009,,,,,,,,451,
CMCUZ7-3,21-10-2009,,,,,,,,506,
CMCUZ7-3,22-10-2009,,,,,,,,492,
CMCUZ7-3,23-10-2009,,,,,,,,496,
CMCUZ7-3,26-10-2009,,,,,,,,486,
CMCUZ7-3,27-10-2009,,,,,,,,453,
CMCUZ7-3,28-10-2009,,,,,,,,374,
CMCUZ7-3,29-10-2009,,,,,,,,412,
CMCUZ7-3,30-10-2009,,,,,,,,332,
CMCUZ7-3,02-11-2009,,,,,,,,346,
CMCUZ7-3,03-11-2009,,,,,,,,344,
CMCUZ7-3,04-11-2009,,,,,,,,355,
CMCUZ7-3,05-11-2009,,,,,,,,363,
CMCUZ7-3,06-11-2009,,,,,,,,338,
CMCUZ7-3,09-11-2009,,,,,,,,308,
CMCUZ7-3,10-11-2009,,,,,,,,256,
CMCUZ7-3,11-11-2009,,,,,,,,272,
CMCUZ7-3,12-11-2009,,,,,,,,265,
CMCUZ7-3,13-11-2009,,,,,,,,286,
CMCUZ7-3,16-11-2009,,,,,,,,391,
CMCUZ7-3,17-11-2009,,,,,,,,388.5,
CMCUZ7-3,18-11-2009,,,,,,,,397,
CMCUZ7-3,19-11-2009,,,,,,,,375,
CMCUZ7-3,20-11-2009,,,,,,,,382.25,
CMCUZ7-3,23-11-2009,,,,,,,,383.5,
CMCUZ7-3,24-11-2009,,,,,,,,321,
CMCUZ7-3,25-11-2009,,,,,,,,351,
CMCUZ7-3,26-11-2009,,,,,,,,295,
CMCUZ7-3,27-11-2009,,,,,,,,318,
CMCUZ7-3,30-11-2009,,,,,,,,357,
CMCUZ7-3,01-12-2009,,,,,,,,377,
CMCUZ7-3,02-12-2009,,,,,,,,346,
CMCUZ7-3,03-12-2009,,,,,,,,322,
CMCUZ7-3,04-12-2009,,,,,,,,282,
CMCUZ7-3,07-12-2009,,,,,,,,245,
CMCUZ7-3,08-12-2009,,,,,,,,242,
CMCUZ7-3,09-12-2009,,,,,,,,245,
CMCUZ7-3,10-12-2009,,,,,,,,224,
CMCUZ7-3,11-12-2009,,,,,,,,223,
CMCUZ7-3,14-12-2009,,,,,,,,221,
CMCUZ7-3,15-12-2009,,,,,,,,207,
CMCUZ7-3,16-12-2009,,,,,,,,217,
CMCUZ7-3,17-12-2009,,,,,,,,168,
CMCUZ7-3,18-12-2009,,,,,,,,159,
CMCUZ7-3,21-12-2009,,,,,,,,192,
CMCUZ7-3,22-12-2009,,,,,,,,172,
CMCUZ7-3,23-12-2009,,,,,,,,216,
CMCUZ7-3,24-12-2009,,,,,,,,240,
CMCUZ7-3,29-12-2009,,,,,,,,267,
CMCUZ7-3,30-12-2009,,,,,,,,234,
CMCUZ7-3,31-12-2009,,,,,,,,226,
CMCUZ7-3,04-01-2010,,,,,,,,253,
CMCUZ7-3,05-01-2010,,,,,,,,336,
CMCUZ7-3,06-01-2010,,,,,,,,498,
CMCUZ7-3,07-01-2010,,,,,,,,446.5,
CMCUZ7-3,08-01-2010,,,,,,,,481,
CMCUZ7-3,11-01-2010,,,,,,,,514,
CMCUZ7-3,12-01-2010,,,,,,,,536,
CMCUZ7-3,13-01-2010,,,,,,,,574,
CMCUZ7-3,14-01-2010,,,,,,,,599,
CMCUZ7-3,15-01-2010,,,,,,,,636,
CMCUZ7-3,18-01-2010,,,,,,,,637,
CMCUZ7-3,19-01-2010,,,,,,,,663,
CMCUZ7-3,20-01-2010,,,,,,,,649,
CMCUZ7-3,21-01-2010,,,,,,,,624.5,
CMCUZ7-3,22-01-2010,,,,,,,,668,
CMCUZ7-3,25-01-2010,,,,,,,,738,
CMCUZ7-3,26-01-2010,,,,,,,,761,
CMCUZ7-3,27-01-2010,,,,,,,,771,
CMCUZ7-3,28-01-2010,,,,,,,,747,
CMCUZ7-3,29-01-2010,,,,,,,,661,
CMCUZ7-3,01-02-2010,,,,,,,,616,
CMCUZ7-3,02-02-2010,,,,,,,,551,
CMCUZ7-3,03-02-2010,,,,,,,,384,
CMCUZ7-3,04-02-2010,,,,,,,,320.5,
CMCUZ7-3,05-02-2010,,,,,,,,384,
CMCUZ7-3,08-02-2010,,,,,,,,396.5,
CMCUZ7-3,09-02-2010,,,,,,,,446,
CMCUZ7-3,10-02-2010,,,,,,,,441,
CMCUZ7-3,11-02-2010,,,,,,,,676,
CMCUZ7-3,12-02-2010,,,,,,,,656,
CMCUZ7-3,15-02-2010,,,,,,,,664,
CMCUZ7-3,16-02-2010,,,,,,,,706,
CMCUZ7-3,17-02-2010,,,,,,,,629,
CMCUZ7-3,18-02-2010,,,,,,,,654,
CMCUZ7-3,19-02-2010,,,,,,,,716,
CMCUZ7-3,22-02-2010,,,,,,,,660,
CMCUZ7-3,23-02-2010,,,,,,,,616,
CMCUZ7-3,24-02-2010,,,,,,,,616,
CMCUZ7-3,25-02-2010,,,,,,,,561,
CMCUZ7-3,26-02-2010,,,,,,,,601,
CMCUZ7-3,01-03-2010,,,,,,,,621,
CMCUZ7-3,02-03-2010,,,,,,,,686,
CMCUZ7-3,03-03-2010,,,,,,,,716,
CMCUZ7-3,04-03-2010,,,,,,,,653.5,
CMCUZ7-3,05-03-2010,,,,,,,,695,
CMCUZ7-3,08-03-2010,,,,,,,,658,
CMCUZ7-3,09-03-2010,,,,,,,,657,
CMCUZ7-3,10-03-2010,,,,,,,,582,
