RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
SCFF0,06-07-2009,39500,39540,38550,38760,768,3436,39160,39160,
SCFF0,07-07-2009,39160,39230,38800,39000,780,3500,38950,38950,
SCFF0,08-07-2009,38300,38970,38300,38960,680,3586,38580,38580,
SCFF0,09-07-2009,38480,39590,38480,39590,654,3702,38880,38880,
SCFF0,10-07-2009,39780,39910,39240,39380,592,3710,39660,39660,
SCFF0,13-07-2009,39630,39870,38800,38800,786,3898,39300,39300,
SCFF0,14-07-2009,39200,39700,39200,39650,682,3914,39490,39490,
SCFF0,15-07-2009,40100,41430,40100,41250,1018,3828,40800,40800,
SCFF0,16-07-2009,41770,42190,41350,41600,732,3886,41740,41740,
SCFF0,17-07-2009,41700,41860,41400,41800,640,3896,41660,41660,
SCFF0,20-07-2009,42500,43660,42330,43600,1104,3902,43060,43060,
SCFF0,21-07-2009,43690,43690,42930,43050,956,3922,43170,43170,
SCFF0,22-07-2009,42850,43810,42710,42950,1826,4134,43200,43200,
SCFF0,23-07-2009,44230,44230,43200,43460,1546,4394,43650,43650,
SCFF0,24-07-2009,43450,43770,43200,43680,1142,4396,43460,43460,
SCFF0,27-07-2009,44000,44950,43740,44820,2058,4738,44210,44210,
SCFF0,28-07-2009,44770,44950,44450,44830,1222,4844,44650,44650,
SCFF0,29-07-2009,44520,44520,42500,42870,2492,5126,43350,43350,
SCFF0,30-07-2009,42800,43330,42730,43240,1670,5376,43020,43020,
SCFF0,31-07-2009,44250,45170,44250,45170,1312,5472,44890,44890,
SCFF0,03-08-2009,46290,47990,46290,47300,2396,5356,47120,47120,
SCFF0,04-08-2009,48000,48840,46790,47790,1738,5378,47630,47630,
SCFF0,05-08-2009,48250,48920,47790,48000,3142,5864,48370,48370,
SCFF0,06-08-2009,48010,48400,47300,47950,2140,6110,47700,47700,
SCFF0,07-08-2009,46920,47250,46630,46630,3130,6800,46930,46930,
SCFF0,10-08-2009,47200,48730,47140,48680,2306,6972,48130,48130,
SCFF0,11-08-2009,48150,48690,47940,48500,2210,7038,48410,48410,
SCFF0,12-08-2009,48020,48300,47500,47570,3130,7766,47920,47920,
SCFF0,13-08-2009,49000,50280,48860,49980,4624,8384,49820,49820,
SCFF0,14-08-2009,50710,51130,49710,50140,5174,9078,50290,50290,
SCFF0,17-08-2009,48200,48200,47770,47770,3262,9020,47850,47850,
SCFF0,18-08-2009,48300,48370,47570,48100,4398,9344,47930,47930,
SCFF0,19-08-2009,48160,48330,46020,46400,9282,10420,46950,46950,
SCFF0,20-08-2009,47580,47700,46590,47570,8874,10812,47260,47260,
SCFF0,21-08-2009,47060,47330,46630,46730,6608,11848,46940,46940,
SCFF0,24-08-2009,49280,49280,49180,49280,2470,12624,49270,49270,
SCFF0,25-08-2009,49280,49650,48940,49340,8140,13112,49310,49310,
SCFF0,26-08-2009,48950,50100,48950,50000,7026,14164,49630,49630,
SCFF0,27-08-2009,49690,49940,49400,49680,5008,14978,49670,49670,
SCFF0,28-08-2009,50530,50950,50500,50720,7972,15966,50710,50710,
SCFF0,31-08-2009,51350,51350,48990,49350,15926,17744,49730,49730,
SCFF0,01-09-2009,49220,49500,48780,49420,10340,18746,49210,49210,
SCFF0,02-09-2009,47800,47980,46910,47210,33462,30254,47460,47460,
SCFF0,03-09-2009,47400,48800,47320,48690,30740,33422,48020,48020,
SCFF0,04-09-2009,48970,50000,48530,49440,42064,37178,49290,49290,
SCFF0,07-09-2009,49390,49670,48950,49570,44024,31982,49410,49410,
SCFF0,08-09-2009,49380,49890,49120,49860,29966,32580,49480,49480,
SCFF0,09-09-2009,50250,50830,50020,50080,52958,36694,50390,50390,
SCFF0,10-09-2009,50000,50510,49600,50210,50832,40306,50040,50040,
SCFF0,11-09-2009,49400,50150,49120,49160,50742,45226,49620,49620,
SCFF0,14-09-2009,47250,47850,47130,47620,64984,56120,47460,47460,
SCFF0,15-09-2009,48200,48400,47910,48260,63600,62608,48180,48180,
SCFF0,16-09-2009,49000,49040,48650,48740,58938,61708,48830,48830,
SCFF0,17-09-2009,50000,50000,49580,49630,90488,61420,49780,49780,
SCFF0,18-09-2009,49380,49500,48630,48650,75432,70794,49150,49150,
SCFF0,21-09-2009,47550,48790,47550,48740,120918,79416,48310,48310,
SCFF0,22-09-2009,48670,48900,48250,48590,105226,81090,48640,48640,
SCFF0,23-09-2009,48900,48970,48100,48170,131536,85986,48480,48480,
SCFF0,24-09-2009,47990,48290,47480,48170,171944,93464,47870,47870,
SCFF0,25-09-2009,46720,47270,46720,47140,166548,103316,46980,46980,
SCFF0,28-09-2009,47010,47210,45500,45740,279766,121456,46240,46240,
SCFF0,29-09-2009,46160,46400,45820,46390,299138,130768,46120,46120,
SCFF0,30-09-2009,46600,48100,46410,48050,367328,130338,47370,47370,
SCFF0,09-10-2009,49330,49880,48830,48850,302290,141046,49270,49270,
SCFF0,12-10-2009,49060,49360,48750,49020,390986,170140,49080,49080,
SCFF0,13-10-2009,49000,49070,48620,48890,298828,172430,48850,48850,
SCFF0,14-10-2009,48420,49240,48360,49100,343842,185452,48840,48840,
SCFF0,15-10-2009,49300,49680,48630,48710,445788,189300,49120,49120,
SCFF0,16-10-2009,49210,49260,48510,48780,350444,181164,48840,48840,
SCFF0,19-10-2009,48500,49610,48420,49500,447814,192990,49230,49230,
SCFF0,20-10-2009,50380,50570,49730,50210,501592,204732,50160,50160,
SCFF0,21-10-2009,49950,50260,49750,50030,389786,205016,49990,49990,
SCFF0,22-10-2009,50890,51100,50450,50460,435346,204452,50830,50830,
SCFF0,23-10-2009,50800,51420,50700,51330,369238,216252,51040,51040,
SCFF0,26-10-2009,51170,51940,51060,51860,387124,217242,51600,51600,
SCFF0,27-10-2009,51000,51300,50930,51160,280556,190968,51130,51130,
SCFF0,28-10-2009,51090,51840,50800,51280,414762,195976,51350,51350,
SCFF0,29-10-2009,50380,50560,49900,50030,367668,183138,50140,50140,
SCFF0,30-10-2009,51450,51540,51120,51200,265686,170864,51280,51280,
SCFF0,02-11-2009,50430,50860,50150,50800,261208,169454,50520,50520,
SCFF0,03-11-2009,50700,51100,50650,50760,207510,167282,50870,50870,
SCFF0,04-11-2009,51010,51400,51010,51130,202882,155496,51200,51200,
SCFF0,05-11-2009,50910,51080,50650,50710,157508,154710,50790,50790,
SCFF0,06-11-2009,50880,51270,50870,51140,151748,144020,51130,51130,
SCFF0,09-11-2009,51100,51580,51080,51310,75624,129142,51240,51240,
SCFF0,10-11-2009,51300,51310,50610,50740,48952,114898,50960,50960,
SCFF0,11-11-2009,50940,51060,50650,50770,34542,105098,50850,50850,
